,song-name,lyrics,release-year,genius-path
58,Kidding Around,walking on the straight and narrow straight between your eyes comes an arrow blood all over the house you reside in but it's all an illusion  on vacation at the seashore by the bay but far away inside your mind has been unkind it brings along your brain you think  what's the meaning of this song and what's this piece of wood i don't care it sounds so pretty it's change is so sublime what was the meaning of that last line but i'm just kidding around over here  oooooooooooooooo oooooooooooooooo oooooooooooooooo  ain't it funny when others try to tell you what you're trying to do but i'm all ears clearly have you not been listening to my pretty song  walking on the straight and narrow straight between your eyes comes an arrow blood all over the house you reside in but it's all an illusion  walking on the rocky brawlway forget what i was trying to say now i know one way to kill me way to go kv hey can i hear me  but i'm just kidding around over here  oooooooooooooooo oooooooooooooooo oooooooooooooooo,2015,/Kurt-vile-kidding-around-lyrics
59,Kurt Runner,instrumental,2022,/Kurt-vile-kurt-runner-lyrics
60,KV Crimes, i should have known my heart has overgrown do you risk it exploding all over well you better get a load of this one with a load on the time has come and i believe i've come too for to tell you but something's always in the way   all right what now that's fine i think i'm ready to claim what's mine rightfully yeah   crestfallen dejected with the east coast crutch day dreaming through the dark days club mate on holiday with the moon duo space partners   all right what now that's fine i think i'm ready to claim what's mine rightfully yeah ,2013,/Kurt-vile-kv-crimes-lyrics
61,Life Like This, wanna live wanna live live a life like mine well i been doin it baby all the time to do so you gotta roll with the punches jump from the sweetest to the toughest of tough love  maybe you think im a talking tube baby try playing thats all i really ever wanna do you didnt hear me right oh yeah   thats right i wanna live live a life like this yeah you wish  wanna live wanna live a life like mine ay baby well get in line ready to take a life test what it is is it is the best  maybe you dont hear me talking strange well hang on you better wait maybe you didnt hear me right  well its up and down and out of sight do you got what it takes well i think you might   wanna live wanna live a life like mine well i been doin it baby all the time to do so you gotta roll with the punches jump from the sweetest to the toughest of tough love maybe you dont hear me talking strange well hold on you better wait maybe you must think that im talking crooked well thats all good wanna live wanna live a life like some young and dumb and full of come on over to my house  theres a party goin on here all the time wanna live wanna live a life like mine ,2015,/Kurt-vile-life-like-this-lyrics
62,Life’s a Beach,i wanna be born dont wanna be anything i got dangerous memory got memory i wanna be the best bet all the dreams are entitled to be blessed bet on my mother and her hundred daily blessings all the time  i wanna go to em all yeah cause lifes a beach im outta reach im so out of reach yeah lifes a beach  i locked my key in the car again fucked anyway they need always  wecure my imagination running away with me when your actions acting up feels like the lam we turning up i make a living too much i think i'd try and die a little over yeah cause lifes so wild man i could give a little rest ive been up and down so long guess im moving moving along ive been a wrong display of my life dont never try and wilt this life i'm so outta reach,2011,/Kurt-vile-lifes-a-beach-lyrics
63,Like Exploding Stones, got me going one two three four one two   got me going wooooh yeah woooohooh ooh yeah   pain ricocheting in my brain like exploding stones thoughts running 'round in my cranium like pinball machineomania dreaming of a time when everything rhymed and i was cool calm and collected and all of my heroes dropped by just to hear me play  oohoohooh ooh yeah oohooh yeah   thoughts become pictures become movies in my mind welcome to the kv horror drivein movie marathon but i'm just kidding and i'm just playing and this is just the way that i'm making a living every day in my mind and in real life too   going wooooh singing yеaheah going wooooh singing yeaheah going wooooh singing yеaheah going woooohooh singing yeah   taking off now moog making noise now pain ricocheting in my brain like exploding stoohohohwoahohwohwones guitar's feeding back now feedback massaging my cranium ,2022,/Kurt-vile-like-exploding-stones-lyrics
64,Loading Zones, back is aching but i cannot sleep 'cause i won't be beat like i am the mayor of some godforsaken town sure they knighted me yesterday but who needs armor when i've an exoskeleton i slip and squirm through the cracks creep around by the all the loading zones in my dirty little town get my shopping done laundry too drop some dead weight clean my hands of what i need to clean my hands of and all for free by mayoral decree all from zone to loading zone of my town yeah   three grumpy girls and a dying daddy but oh so gorgeous the way they crave how beautiful to take a bite out of the world i want to rip the world a new one it just crawls out of my mouth anymore you can hate on it or you can hug it you can get all mushy and loveydovey it's all the same when i'm out there driving around all from zone to loading zone of my beautiful town   i park for free one stop shop life for the quick fix before you get a ticket that's the way i live my life i park for free ,2018,/Kurt-vile-loading-zones-lyrics
66,Losing It,instrumental,0,/Kurt-vile-losing-it-lyrics
67,Losing Momentum (For Jim Jarmusch),instrumental,2010,/Kurt-vile-losing-momentum-for-jim-jarmusch-lyrics
68,Lost My Head There, lost my head there lost my head there lost my head there lost my head there i dont wanna sit around walk around today id much rather levitate   i was buggin' out 'bout a coupletwothree things picked up my microphone and started to sing i was feeling worse than the words come out fell on some keys and this song walked outta me   lost my head yes that's how we like it there lost my head there i dont wanna talk about it yell about it oh no me i just wanna sing about it   lost my head there for a second had a little funky psychosis  oh sweet relief i dont wanna sit around and walk around at all today so i gone went ahead and just levitated ,2015,/Kurt-vile-lost-my-head-there-lyrics
69,Monkey,oh my darling i was born when i met you if you don't mind now would i lie could i get you to redesign and redeliver me again  i'll be your baby and i'll be your father your little brother won't be no bother just born in autumn came and i am here i see you saw me in the mirror in half it's so exciting that we both just laugh and laugh  the other night you were away i missed you so bad i found me doing something desperate i was so sad i swear i held my own hand pretending it was yours  oh my monkey love is funny when it's so strong it's so strong and it goes on for so so long and it's long and strong and funny and it pours,2009,/Kurt-vile-monkey-lyrics
